,customer,invoice_date,qty_shipped,item,description,item_price,customer,industry,contact_owner,lifetime_sales,first_sale,county,market_opportunity,%_market_opp
227,1GORFO,2015-02-13,150.0,LMR400,"TIMES MICROWAVE 3/8"" COAXIAL",1.2,1GORFO,Manufacturing,Skip Petrovich,27801.31,11/01/1999,Kent,1601574.0,0.421
233,1VALTP,2015-02-06,6.0,AAH02RDC9JA2,MOTO XPR3300 403-512M 16CH,468.0,1VALTP,Manufacturing,Skip Petrovich,27666.61,11/01/1999,Kent,1601574.0,0.421
234,1VALTP,2015-02-06,6.0,PMMN4073,"IMPRESS RSM,SMALL 3.5 JACK",70.0,1VALTP,Manufacturing,Skip Petrovich,27666.61,11/01/1999,Kent,1601574.0,0.421
235,1VALTP,2015-02-06,1.0,PMNN4406,MOTO BATT ST IP67 LION 1500M,66.0,1VALTP,Manufacturing,Skip Petrovich,27666.61,11/01/1999,Kent,1601574.0,0.421
241,1FOURW,2015-02-06,1.0,S261815,TURBOVUI GATEWAY REPLACEMENT,1075.0,1FOURW,Hospitality,Tom Gillespie,1123935.02,1/29/2008,Berrien,510290.0,0.291
252,1HOWMC,2015-02-13,4.0,AAH03RDF8AA7,CP185 UHF RADIO  435-480MHZ,265.6,1HOWMC,Manufacturing,Kelly Hoek,13200.42,11/01/1999,Ottawa,825673.0,0.309
253,1HOWMC,2015-02-13,4.0,QA01113,ALT:PKG W/HC LITH & RAPID CHRG,17.0,1HOWMC,Manufacturing,Kelly Hoek,13200.42,11/01/1999,Ottawa,825673.0,0.309
254,1WEBCH,2015-03-20,2.0,AAH65RDF9AA3,PR400  UHF 32 CH  1-4W,453.0,1WEBCH,Transportation,Pat McBride,14533.63,11/01/1999,Muskegon,281690.0,0.176
255,1WEBCH,2015-03-20,2.0,Q869,"OPT:NIMH 1300 MAH, INT SAFE",50.0,1WEBCH,Transportation,Pat McBride,14533.63,11/01/1999,Muskegon,281690.0,0.176
256,1WEBCH,2015-03-20,2.0,NAE6522,ANTENNA UHF STUBBY,12.25,1WEBCH,Transportation,Pat McBride,14533.63,11/01/1999,Muskegon,281690.0,0.176
257,1BRADF,2015-02-06,1.0,AAH01QDC9JC2,CP200D UHF 4W ND ANALOG,362.0,1BRADF,Manufacturing,Kelly Hoek,15631.19,6/04/2012,Ottawa,825673.0,0.309
261,4SOUHC,2015-03-27,150.0,LDF450A,"1/2"" FOAM HELIAX CBLE/REEL",2.6,4SOUHC,Healthcare,Tom Gillespie,34644.51,11/01/1999,Van Buren,165946.0,0.257
262,4SOUHC,2015-03-27,1.0,SIGK12,"SIGNAL INSIDE 1/2"" GROUND KIT",18.95,4SOUHC,Healthcare,Tom Gillespie,34644.51,11/01/1999,Van Buren,165946.0,0.257
264,1HILIT,2015-02-13,1.0,AAH88QCP9JA2,MOTO SL300 403-470M 2-3W,475.0,1HILIT,Manufacturing,Pat McBride,67967.41,7/24/2012,Muskegon,281690.0,0.176
265,1HILIT,2015-02-13,1.0,PMMN4013,REMOTE SPEAKER MIC,70.0,1HILIT,Manufacturing,Pat McBride,67967.41,7/24/2012,Muskegon,281690.0,0.176
266,7EMAMB,2015-03-20,2.0,F5218A,MOTO MW810 MOBILE WORKSTATION,2076.0,7EMAMB,Fire & EMS,Jessica Spindler,119689.2,9/29/2014,Emmet,80040.0,0.131
267,7EMAMB,2015-03-20,2.0,VA00845AA,5.0M(16.4FT) MW810 CPU-DISP,104.0,7EMAMB,Fire & EMS,Jessica Spindler,119689.2,9/29/2014,Emmet,80040.0,0.131
268,7EMAMB,2015-03-20,2.0,VA00840AA,"KEYBOARD, US",284.0,7EMAMB,Fire & EMS,Jessica Spindler,119689.2,9/29/2014,Emmet,80040.0,0.131
269,7EMAMB,2015-03-20,2.0,VA00822AA,ALT: WIN 7 PRO 32BIT,200.0,7EMAMB,Fire & EMS,Jessica Spindler,119689.2,9/29/2014,Emmet,80040.0,0.131
270,7EMAMB,2015-03-20,2.0,VA00763AA,"8GB, DDR3, 1600MHZ DUAL SLOT",236.0,7EMAMB,Fire & EMS,Jessica Spindler,119689.2,9/29/2014,Emmet,80040.0,0.131
271,7EMAMB,2015-03-20,2.0,VA00795AA,"12.1 XGA 500NIT DISPLAY,",1116.0,7EMAMB,Fire & EMS,Jessica Spindler,119689.2,9/29/2014,Emmet,80040.0,0.131
272,1GHDPS,2015-02-27,1.0,VA00763AA,"8GB, DDR3, 1600MHZ DUAL SLOT",236.0,1GHDPS,Government Services,Keith Johnson,21446.88,11/01/1999,Ottawa,825673.0,0.309
273,1GHDPS,2015-02-27,1.0,VA00845AA,5.0M(16.4FT) MW810 CPU-DISP,104.0,1GHDPS,Government Services,Keith Johnson,21446.88,11/01/1999,Ottawa,825673.0,0.309
274,1GHDPS,2015-02-27,1.0,VA00840AA,"KEYBOARD, US",284.0,1GHDPS,Government Services,Keith Johnson,21446.88,11/01/1999,Ottawa,825673.0,0.309
